Slot,Status,Date,Time
F1_1,available,2020-01-01,09:00:00
F1_2,available,2020-01-01,09:00:00
F1_3,available,2020-01-01,09:00:00
F1_4,available,2020-01-01,09:00:00
F1_5,available,2020-01-01,09:00:00
F1_6,available,2020-01-01,09:00:00
F1_7,available,2020-01-01,09:00:00
F1_8,available,2020-01-01,09:00:00
F1_9,available,2020-01-01,09:00:00
F1_10,available,2020-01-01,09:00:00
F2_1,available,2020-01-01,09:00:00
F2_2,available,2020-01-01,09:00:00
F2_3,available,2020-01-01,09:00:00
F2_4,available,2020-01-01,09:00:00
F2_5,occupied,2020-01-01,09:00:00
F2_6,available,2020-01-01,09:00:00
F2_7,occupied,2020-01-01,09:00:00
F2_8,available,2020-01-01,09:00:00
F2_9,available,2020-01-01,09:00:00
F2_10,available,2020-01-01,09:00:00
F3_1,available,2020-01-01,09:00:00
F3_2,available,2020-01-01,09:00:00
F3_3,available,2020-01-01,09:00:00
F3_4,occupied,2020-01-01,09:00:00
F3_5,available,2020-01-01,09:00:00
F3_6,occupied,2020-01-01,09:00:00
F3_7,available,2020-01-01,09:00:00
F3_8,available,2020-01-01,09:00:00
F3_9,available,2020-01-01,09:00:00
F3_10,available,2020-01-01,09:00:00
F4_1,available,2020-01-01,09:00:00
F4_2,available,2020-01-01,09:00:00
F4_3,occupied,2020-01-01,09:00:00
F4_4,available,2020-01-01,09:00:00
F4_5,available,2020-01-01,09:00:00
F4_6,available,2020-01-01,09:00:00
F4_7,available,2020-01-01,09:00:00
F4_8,available,2020-01-01,09:00:00
F4_9,available,2020-01-01,09:00:00
F4_10,available,2020-01-01,09:00:00
F1_1,occupied,2020-01-01,10:00:00
F1_2,occupied,2020-01-01,10:00:00
F1_3,occupied,2020-01-01,10:00:00
F1_4,occupied,2020-01-01,10:00:00
F1_5,occupied,2020-01-01,10:00:00
F1_6,occupied,2020-01-01,10:00:00
F1_7,occupied,2020-01-01,10:00:00
F1_8,occupied,2020-01-01,10:00:00
F1_9,occupied,2020-01-01,10:00:00
F1_10,available,2020-01-01,10:00:00
F2_1,available,2020-01-01,10:00:00
F2_2,occupied,2020-01-01,10:00:00
F2_3,occupied,2020-01-01,10:00:00
F2_4,occupied,2020-01-01,10:00:00
F2_5,occupied,2020-01-01,10:00:00
F2_6,occupied,2020-01-01,10:00:00
F2_7,occupied,2020-01-01,10:00:00
F2_8,occupied,2020-01-01,10:00:00
F2_9,occupied,2020-01-01,10:00:00
F2_10,occupied,2020-01-01,10:00:00
F3_1,available,2020-01-01,10:00:00
F3_2,occupied,2020-01-01,10:00:00
F3_3,occupied,2020-01-01,10:00:00
F3_4,available,2020-01-01,10:00:00
F3_5,available,2020-01-01,10:00:00
F3_6,occupied,2020-01-01,10:00:00
F3_7,occupied,2020-01-01,10:00:00
F3_8,occupied,2020-01-01,10:00:00
F3_9,occupied,2020-01-01,10:00:00
F3_10,occupied,2020-01-01,10:00:00
F4_1,occupied,2020-01-01,10:00:00
F4_2,occupied,2020-01-01,10:00:00
F4_3,occupied,2020-01-01,10:00:00
F4_4,available,2020-01-01,10:00:00
F4_5,occupied,2020-01-01,10:00:00
F4_6,occupied,2020-01-01,10:00:00
F4_7,available,2020-01-01,10:00:00
F4_8,occupied,2020-01-01,10:00:00
F4_9,occupied,2020-01-01,10:00:00
F4_10,available,2020-01-01,10:00:00
F1_1,available,2020-01-01,11:00:00
F1_2,occupied,2020-01-01,11:00:00
F1_3,occupied,2020-01-01,11:00:00
